"","X","street_address","wam_age","wam_income","ttl_value","ttl_population","ttl_white","ttl_black","ttl_asian","ttl_hispanic","ttl_other","statefp","countyfp","countyns","affgeoid","geoid","name","namelsad","stusps","state_name","lsad","aland","awater","state_abbr","jurisdiction_type","geometry"
"61",61,"1003 W 4th St",39.5423255813953,64168.5246422893,645,315251,210397,54152,14714,28364,7624,"13","075","00343878","0500000US13075","13075","Cook","Cook County","GA","Georgia","06",591684405,12308449,"GA","state",c(-83.436629, 31.134189)
"62",62,"1003 W Screven St",41.5691588785047,45930.9708737864,107,28626,17389,9027,124,1590,496,"13","027","00345518","0500000US13027","13027","Brooks","Brooks County","GA","Georgia","06",1277341275,11955761,"GA","state",c(-83.568471, 30.785565)
"63",63,"10030 Zebulon Rd",42.8839694656489,62380.4503816794,131,50714,42039,5827,604,1130,1114,"13","231","00346482","0500000US13231","13231","Pike","Pike County","GA","Georgia","06",559660500,8595984,"GA","state",c(-84.329106, 33.122738)
"64",64,"1004 Coleman Register Rd",40.1798165137615,35438.747706422,218,24013,15792,6536,119,725,841,"13","175","00346568","0500000US13175","13175","Laurens","Laurens County","GA","Georgia","06",2090990042,28838468,"GA","state",c(-82.992303, 32.379905)
"65",65,"10055 Eagle Dr",38.7930783242259,66606.0811808118,549,164730,95849,54090,1815,8885,4091,"13","217","01673547","0500000US13217","13217","Newton","Newton County","GA","Georgia","06",709148422,13974069,"GA","state",c(-83.839656, 33.574509)
"66",66,"1006 E River Rd",41.0188405797102,49542.9420289855,69,21687,9792,10310,149,926,510,"13","087","00352234","0500000US13087","13087","Decatur","Decatur County","GA","Georgia","06",1546842840,67154651,"GA","state",c(-84.564754, 30.914457)
"67",67,"1006 King George Blvd",36.32528,65538.4959742351,625,214622,120222,58218,6540,20295,9347,"13","051","01694477","0500000US13051","13051","Chatham","Chatham County","GA","Georgia","06",1121772804,509852786,"GA","state",c(-81.219176, 31.985626)
"68",68,"1006 King George Blvd",34.9384615384615,61247.1538461538,26,21234,9514,7816,683,1948,1273,"13","051","01694477","0500000US13051","13051","Chatham","Chatham County","GA","Georgia","06",1121772804,509852786,"GA","state",c(-81.219215, 31.985853)
"69",69,"1006 Plant Ave",32.6,47744,5,836,711,60,0,0,65,"13","299","00357722","0500000US13299","13299","Ware","Ware County","GA","Georgia","06",2329026445,22649478,"GA","state",c(-82.353387, 31.214338)
"70",70,"1006 Plant Ave",40.8493449781659,48324.1090047393,229,64089,47929,10917,491,3514,1238,"13","299","00357722","0500000US13299","13299","Ware","Ware County","GA","Georgia","06",2329026445,22649478,"GA","state",c(-82.353383, 31.214542)
"71",71,"1006 S Elm St",38.269578313253,49326.2256097561,332,58580,37383,13667,850,5616,1064,"13","075","00343878","0500000US13075","13075","Cook","Cook County","GA","Georgia","06",591684405,12308449,"GA","state",c(-83.437921, 31.121294)
"72",72,"1007 Kia Pkwy",39.0745762711864,59554.5698689956,472,238217,143198,63218,9362,16538,5901,"13","285","01673298","0500000US13285","13285","Troup","Troup County","GA","Georgia","06",1072278217,82757751,"GA","state",c(-85.155915, 32.879951)
"73",73,"1007 Kia Pkwy",38.8444444444444,40702.037037037,27,7778,3195,4408,14,161,0,"13","285","01673298","0500000US13285","13285","Troup","Troup County","GA","Georgia","06",1072278217,82757751,"GA","state",c(-85.155931, 32.88001)
"74",74,"1008 Bay St",38.0028571428571,35290.275862069,35,13448,7962,4433,197,552,304,"13","127","01671513","0500000US13127","13127","Glynn","Glynn County","GA","Georgia","06",1086851231,429107116,"GA","state",c(-81.494581, 31.142702)
"75",75,"1008 S Veterans Blvd",43.8705882352941,54638.8235294118,34,14623,10072,1884,144,2243,280,"13","267","00347445","0500000US13267","13267","Tattnall","Tattnall County","GA","Georgia","06",1245369512,19447412,"GA","state",c(-81.936676, 31.922662)
"76",76,"1009 Georgian Park Ste A",43.4812785388128,98910.7168949772,219,95078,58758,22274,4721,6759,2566,"13","113","01687740","0500000US13113","13113","Fayette","Fayette County","GA","Georgia","06",503907543,12814102,"GA","state",c(-84.594377, 33.435735)
"77",77,"100A Gunn Rd",34.94,62914.6,20,22797,12809,6162,1364,2155,307,"13","153","01671693","0500000US13153","13153","Houston","Houston County","GA","Georgia","06",973954137,9990192,"GA","state",c(-83.687647, 32.623871)
"78",78,"101 4th St SW",36.2855263157895,40401.7368421053,76,17018,8858,6899,32,1095,134,"13","131","00351261","0500000US13131","13131","Grady","Grady County","GA","Georgia","06",1177051414,15026665,"GA","state",c(-84.21365, 30.877439)
"79",79,"101 E Northside Dr",34.9635416666667,59151.0833333333,96,45947,31109,9625,956,3288,969,"13","185","00326720","0500000US13185","13185","Lowndes","Lowndes County","GA","Georgia","06",1287842038,34542105,"GA","state",c(-83.291207, 30.868911)
"80",80,"101 Fairview Rd",41.646365914787,69199.2759493671,399,136706,38068,82252,2754,9012,4620,"13","151","01671894","0500000US13151","13151","Henry","Henry County","GA","Georgia","06",825449018,20273034,"GA","state",c(-84.237783, 33.619895)
"81",81,"101 First Paulding Dr",36.0847736625514,66743.3514644352,243,121371,83215,23847,1447,9394,3468,"13","223","00349912","0500000US13223","13223","Paulding","Paulding County","GA","Georgia","06",808983871,5212122,"GA","state",c(-84.830078, 33.921781)
"82",82,"101 Greison Trl",37.7393333333333,59899.9666666667,150,78224,44796,21860,2161,7590,1817,"13","077","00326666","0500000US13077","13077","Coweta","Coweta County","GA","Georgia","06",1142364907,12680737,"GA","state",c(-84.778398, 33.368356)
"83",83,"101 Hodgeville Rd",36.3954545454545,72172.4545454545,66,55248,37078,11704,1186,2999,2281,"13","051","01694477","0500000US13051","13051","Chatham","Chatham County","GA","Georgia","06",1121772804,509852786,"GA","state",c(-81.247544, 32.19563)
